STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,AWND,WSFI
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991222,0.0,508.0,-9999,-9999,-9999,-9999,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991223,0.0,508.0,-9999,-9999,-9999,-3.1,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991224,0.0,483.0,-19,-0.3,-3.6,-0.5,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991225,0.0,483.0,23,5.5,-2.3,2.7,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991226,0.0,483.0,11,4.0,-1.8,-9999,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991227,0.0,483.0,-9,1.3,-2.9,-1.8,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991228,0.0,483.0,-25,0.0,-4.5,-3.5,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991229,0.0,457.0,-42,-1.7,-6.2,-6.2,132.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991230,2.5,457.0,-46,-0.8,-6.9,-4.9,134.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991231,0.0,457.0,-18,6.8,-5.8,-4.7,134.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000101,0.0,432.0,-46,0.7,-7.4,-1.4,134.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000102,12.7,762.0,-57,-1.4,-9.3,-7.5,149.9,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000103,15.2,762.0,-76,-4.3,-10.0,-7.4,167.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000104,10.2,889.0,-26,3.7,-8.8,-2.7,177.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000105,7.6,864.0,-55,-1.4,-11.2,1.2,185.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000106,0.0,787.0,-102,-4.2,-13.4,-7.2,185.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000107,0.0,762.0,-45,1.4,-9.3,-5.5,185.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000108,10.2,864.0,-42,0.2,-9.6,-3.5,195.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000109,0.0,838.0,-25,1.0,-5.5,1.0,198.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000110,20.3,965.0,1,3.6,-2.0,1.0,223.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000111,7.6,965.0,19,7.3,-0.5,-0.2,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000112,0.0,940.0,-22,0.8,-4.8,-4.0,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000113,0.0,889.0,8,5.1,-4.6,0.6,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000114,0.0,889.0,28,9.1,-0.1,0.3,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000115,0.0,864.0,35,9.6,-1.2,3.5,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000116,0.0,838.0,50,8.8,2.1,2.1,231.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000117,0.0,787.0,37,7.9,1.5,3.8,228.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000118,15.2,737.0,41,7.3,2.4,4.8,221.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000119,0.0,711.0,25,8.8,-0.7,1.6,221.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000120,0.0,686.0,37,10.0,0.4,2.9,218.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000121,10.2,711.0,5,3.8,-4.6,-2.9,228.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000122,5.1,737.0,-24,2.5,-6.4,-4.4,238.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000123,0.0,737.0,-31,5.2,-10.0,-1.2,238.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000124,0.0,711.0,22,6.6,-1.2,1.9,238.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000125,30.5,711.0,13,2.5,-0.3,0.2,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000126,0.0,762.0,1,4.9,-3.2,-3.2,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000127,0.0,737.0,-77,-0.7,-12.3,-11.4,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000128,0.0,787.0,-96,-2.3,-12.6,-12.0,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000129,0.0,737.0,-90,6.5,-13.2,2.2,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000130,0.0,737.0,-67,7.7,-11.3,-4.3,256.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000131,10.2,864.0,-40,-1.1,-10.4,-10.2,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000201,0.0,813.0,-40,4.5,-11.2,-5.7,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000202,0.0,838.0,4,12.2,-6.0,0.1,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000203,0.0,838.0,26,12.9,-1.8,0.7,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000204,0.0,838.0,13,12.5,-2.0,-1.0,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000205,0.0,813.0,17,9.4,-2.0,-1.4,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000206,0.0,813.0,14,13.5,-1.7,-0.9,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000207,0.0,813.0,13,16.6,-3.3,-0.6,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000208,0.0,787.0,38,15.0,-1.1,2.6,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000209,0.0,762.0,37,9.2,0.5,0.5,261.6,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000210,2.5,737.0,22,8.3,0.3,1.0,269.2,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000211,7.6,813.0,18,6.4,-0.2,2.0,284.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000212,53.3,1168.0,3,2.6,-1.7,-1.7,348.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000213,7.6,1143.0,-3,1.6,-2.7,1.5,350.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000214,17.8,1219.0,31,9.3,1.2,1.3,370.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000215,0.0,1168.0,0,9.3,-3.8,-2.2,370.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000216,2.5,1143.0,17,6.9,-2.2,1.2,373.4,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000217,5.1,1219.0,-3,3.1,-2.8,-2.8,381.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000218,2.5,1194.0,-29,6.5,-8.7,4.4,383.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000219,0.0,1168.0,-26,13.3,-9.3,-3.8,383.5,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000220,0.0,1143.0,36,14.1,-3.8,0.2,386.1,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000221,17.8,1143.0,43,14.6,-0.1,0.1,398.8,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000222,2.5,1118.0,9,12.4,-4.1,-3.8,403.9,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,20000223,2.5,1118.0,3,5.4,-4.1,0.3,406.4,-9999,-9999
